epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.421875,1.6553843021392822
0,99,,0.328125,1.7150895595550537
0,149,,0.5234375,1.4547700881958008
0,199,,0.4375,1.6189980506896973
0,249,,0.4453125,1.6116443872451782
0,299,,0.4765625,1.485849380493164
0,349,,0.5703125,1.3859440088272095
0,390,0.4584600031375885,,
1,399,,0.484375,1.5133371353149414
1,449,,0.5625,1.3137668371200562
1,499,,0.578125,1.3144863843917847
1,549,,0.609375,1.116673231124878
1,599,,0.65625,1.2210379838943481
1,649,,0.5390625,1.384217619895935
1,699,,0.6796875,1.0825819969177246
1,749,,0.6484375,1.2138525247573853
1,781,0.601360023021698,,
2,799,,0.6875,1.1748988628387451
2,849,,0.625,1.2862052917480469
2,899,,0.6171875,1.1629897356033325
2,949,,0.671875,1.0976624488830566
2,999,,0.671875,1.074420690536499
2,1049,,0.7265625,0.975723385810852
2,1099,,0.7109375,0.9803673028945923
2,1149,,0.7421875,0.9354628920555115
2,1172,0.6861600279808044,,
3,1199,,0.8046875,0.8510518074035645
3,1249,,0.7890625,0.9055366516113281
3,1299,,0.75,0.9157770872116089
3,1349,,0.75,0.9903969168663025
3,1399,,0.6171875,1.0694832801818848
3,1449,,0.78125,0.9027870297431946
3,1499,,0.6796875,1.0059499740600586
3,1549,,0.75,0.8964583873748779
3,1563,0.7274799942970276,,
4,1599,,0.75,0.9629283547401428
4,1649,,0.6328125,1.0756577253341675
4,1699,,0.765625,0.8800478577613831
4,1749,,0.6953125,0.9309971332550049
4,1799,,0.7890625,0.8659285306930542
4,1849,,0.7109375,0.9666092991828918
4,1899,,0.734375,0.9257364869117737
4,1949,,0.6796875,0.9849692583084106
4,1954,0.751579999923706,,
5,1999,,0.78125,0.8502807021141052
5,2049,,0.8046875,0.8174515962600708
5,2099,,0.7890625,0.8623777031898499
5,2149,,0.765625,0.9229671359062195
5,2199,,0.7421875,0.9624127149581909
5,2249,,0.8359375,0.7789632678031921
5,2299,,0.765625,0.955109179019928
5,2345,0.7719600200653076,,
6,2349,,0.7265625,0.9551967978477478
6,2399,,0.8125,0.81581711769104
6,2449,,0.7578125,0.8764522671699524
6,2499,,0.828125,0.7451667785644531
6,2549,,0.796875,0.8049721717834473
6,2599,,0.7734375,0.8235213756561279
6,2649,,0.7890625,0.7757532596588135
6,2699,,0.8046875,0.8226780295372009
6,2736,0.7865399718284607,,
7,2749,,0.8125,0.7509667873382568
7,2799,,0.734375,0.8252130746841431
7,2849,,0.7890625,0.7710697650909424
7,2899,,0.796875,0.8266929388046265
7,2949,,0.7734375,0.8547687530517578
7,2999,,0.7890625,0.824207067489624
7,3049,,0.828125,0.761936604976654
7,3099,,0.78125,0.8177127242088318
7,3127,0.7986999750137329,,
8,3149,,0.8125,0.7395180463790894
8,3199,,0.8515625,0.6468406915664673
8,3249,,0.8046875,0.7885204553604126
8,3299,,0.796875,0.8136372566223145
8,3349,,0.796875,0.8116637468338013
8,3399,,0.859375,0.6989436745643616
8,3449,,0.8125,0.8156194090843201
8,3499,,0.8359375,0.7060494422912598
8,3518,0.8095600008964539,,
9,3549,,0.859375,0.7145431041717529
9,3599,,0.7890625,0.8931174874305725
9,3649,,0.7890625,0.7446112632751465
9,3699,,0.7421875,0.9285022616386414
9,3749,,0.7734375,0.7934857606887817
