epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.421875,1.71294367313385
0,99,,0.40625,1.7104322910308838
0,149,,0.4140625,1.5624223947525024
0,199,,0.4375,1.6201183795928955
0,249,,0.515625,1.4979444742202759
0,299,,0.4453125,1.5578933954238892
0,349,,0.5390625,1.4763810634613037
0,390,0.43299999833106995,,
1,399,,0.4921875,1.5068638324737549
1,449,,0.5390625,1.4711627960205078
1,499,,0.4765625,1.5595712661743164
1,549,,0.515625,1.5132561922073364
1,599,,0.515625,1.5085750818252563
1,649,,0.6015625,1.3526908159255981
1,699,,0.6015625,1.3319960832595825
1,749,,0.5546875,1.3026164770126343
1,781,0.5450999736785889,,
2,799,,0.6328125,1.188908338546753
2,849,,0.6484375,1.1799665689468384
2,899,,0.5546875,1.3448801040649414
2,949,,0.6484375,1.1537812948226929
2,999,,0.625,1.2091741561889648
2,1049,,0.5859375,1.335729718208313
2,1099,,0.640625,1.2725212574005127
2,1149,,0.6171875,1.3178735971450806
2,1172,0.6294199824333191,,
3,1199,,0.625,1.2128376960754395
3,1249,,0.6015625,1.285079002380371
3,1299,,0.7265625,1.0330601930618286
3,1349,,0.671875,1.1570115089416504
3,1399,,0.578125,1.2831891775131226
3,1449,,0.65625,1.1329443454742432
3,1499,,0.640625,1.2378309965133667
3,1549,,0.6953125,1.0752906799316406
3,1563,0.6817799806594849,,
4,1599,,0.65625,1.1101652383804321
4,1649,,0.6953125,1.0646675825119019
4,1699,,0.7265625,0.9665486812591553
4,1749,,0.71875,1.023566722869873
4,1799,,0.7109375,0.9795850515365601
4,1849,,0.6875,1.0199676752090454
4,1899,,0.734375,1.0590201616287231
4,1949,,0.7109375,0.9211190938949585
4,1954,0.7094399929046631,,
5,1999,,0.6953125,1.0386972427368164
5,2049,,0.71875,0.9665012359619141
5,2099,,0.7578125,0.9220626354217529
5,2149,,0.7109375,1.005033254623413
5,2199,,0.734375,0.9331453442573547
5,2249,,0.8046875,0.8571252226829529
5,2299,,0.75,0.8774330019950867
5,2345,0.728600025177002,,
6,2349,,0.765625,0.8901194930076599
6,2399,,0.78125,0.8965141773223877
6,2449,,0.71875,0.9936341047286987
6,2499,,0.71875,1.033441185951233
6,2549,,0.75,0.8620889186859131
6,2599,,0.7421875,0.9142271876335144
6,2649,,0.7421875,0.9866735935211182
6,2699,,0.6953125,0.9934133291244507
6,2736,0.743619978427887,,
7,2749,,0.7421875,0.9789979457855225
7,2799,,0.796875,0.836449384689331
7,2849,,0.703125,1.010024070739746
7,2899,,0.7421875,0.9325225353240967
7,2949,,0.734375,0.8734854459762573
7,2999,,0.6640625,1.0160034894943237
7,3049,,0.796875,0.8069549798965454
7,3099,,0.7265625,0.9738671779632568
7,3127,0.7537199854850769,,
8,3149,,0.75,0.8971139192581177
