epoch,step,train_acc,train_loss
0,49,0.125,2.4741437435150146
0,99,0.09375,2.4833836555480957
0,149,0.25,2.2627315521240234
0,199,0.125,2.3469908237457275
0,249,0.28125,2.3495523929595947
0,299,0.21875,2.0893943309783936
0,349,0.21875,2.247027635574341
0,399,0.34375,1.898512363433838
0,449,0.28125,2.132131576538086
0,499,0.15625,2.157986879348755
0,549,0.34375,2.0584042072296143
0,599,0.15625,2.1035656929016113
0,649,0.375,1.9426300525665283
0,699,0.1875,2.0875589847564697
0,749,0.21875,2.0636773109436035
0,799,0.34375,2.0023279190063477
0,849,0.25,1.9826717376708984
0,899,0.34375,1.9608560800552368
0,949,0.3125,2.0602617263793945
0,999,0.3125,1.7996950149536133
0,1049,0.34375,2.00238037109375
0,1099,0.25,1.8929548263549805
0,1149,0.34375,1.9424110651016235
0,1199,0.40625,1.8136582374572754
0,1249,0.25,2.047579765319824
0,1299,0.375,1.9242167472839355
0,1349,0.3125,1.912813663482666
0,1399,0.4375,1.901982307434082
0,1449,0.375,1.806328296661377
0,1499,0.46875,1.8033406734466553
0,1549,0.40625,1.6734106540679932
1,1599,0.4375,1.6909215450286865
1,1649,0.375,1.6797354221343994
1,1699,0.25,1.7509595155715942
1,1749,0.4375,1.8250532150268555
1,1799,0.34375,1.5943893194198608
1,1849,0.40625,1.9371676445007324
1,1899,0.3125,1.9517266750335693
1,1949,0.46875,1.7670537233352661
1,1999,0.34375,1.795960783958435
1,2049,0.46875,1.74549400806427
1,2099,0.40625,1.7201480865478516
1,2149,0.40625,1.791883945465088
1,2199,0.40625,1.5915757417678833
1,2249,0.375,1.8235762119293213
1,2299,0.25,1.8188207149505615
1,2349,0.5625,1.4039174318313599
1,2399,0.3125,1.9196255207061768
1,2449,0.5,1.6492528915405273
1,2499,0.28125,1.8947724103927612
1,2549,0.5625,1.442768931388855
1,2599,0.5,1.5863072872161865
1,2649,0.5625,1.6048896312713623
1,2699,0.5625,1.6149743795394897
1,2749,0.40625,1.7639384269714355
1,2799,0.28125,2.0076568126678467
1,2849,0.59375,1.5620942115783691
1,2899,0.5625,1.7004404067993164
1,2949,0.625,1.5430099964141846
1,2999,0.5,1.475525140762329
1,3049,0.40625,1.790302038192749
1,3099,0.34375,1.732823133468628
2,3149,0.46875,1.710320234298706
2,3199,0.5,1.856749415397644
2,3249,0.53125,1.547986388206482
2,3299,0.59375,1.3792932033538818
2,3349,0.65625,1.4063541889190674
2,3399,0.46875,1.5753698348999023
2,3449,0.5,1.5698773860931396
2,3499,0.65625,1.4488539695739746
2,3549,0.53125,1.5823400020599365
2,3599,0.5,1.5633246898651123
2,3649,0.65625,1.4139750003814697
2,3699,0.53125,1.59837007522583
2,3749,0.5625,1.5396993160247803
2,3799,0.53125,1.5138241052627563
2,3849,0.5625,1.4638384580612183
2,3899,0.5,1.6009310483932495
2,3949,0.59375,1.368464469909668
2,3999,0.71875,1.2329790592193604
2,4049,0.625,1.288988471031189
2,4099,0.5625,1.5709121227264404
2,4149,0.5,1.818286418914795
2,4199,0.65625,1.254746913909912
2,4249,0.5,1.592202067375183
2,4299,0.6875,1.3018609285354614
2,4349,0.6875,1.2995145320892334
2,4399,0.5625,1.286128044128418
2,4449,0.5625,1.462814450263977
2,4499,0.65625,1.485257863998413
2,4549,0.625,1.325005292892456
2,4599,0.4375,1.721566915512085
2,4649,0.53125,1.6444000005722046
3,4699,0.5,1.5825514793395996
3,4749,0.53125,1.3982303142547607
3,4799,0.5,1.510102391242981
3,4849,0.5,1.7663860321044922
3,4899,0.65625,1.2411209344863892
3,4949,0.6875,1.3975778818130493
