epoch,step,train_acc,train_loss
15,5899,0.7890625,1.074156403541565
15,5949,0.78125,0.9837379455566406
15,5999,0.78125,1.039368987083435
15,6049,0.7890625,0.9676269292831421
15,6099,0.84375,0.9022215008735657
15,6149,0.7421875,1.0219758749008179
15,6199,0.859375,0.8857020735740662
15,6249,0.8046875,0.9202292561531067
16,6299,0.78125,0.9958882331848145
16,6349,0.7265625,0.9901672005653381
16,6399,0.828125,0.909442663192749
16,6449,0.765625,0.9819667339324951
16,6499,0.765625,1.016170620918274
16,6549,0.828125,0.9322904944419861
16,6599,0.8046875,1.0065115690231323
17,6649,0.75,0.989854633808136
17,6699,0.828125,0.9148709774017334
17,6749,0.796875,1.0121742486953735
17,6799,0.7890625,0.9874092936515808
17,6849,0.8046875,0.9806903004646301
17,6899,0.8203125,0.9453508257865906
17,6949,0.7890625,0.9779630899429321
17,6999,0.8203125,0.9208971858024597
18,7049,0.7890625,0.9863448143005371
18,7099,0.8203125,0.9258449077606201
18,7149,0.7890625,1.005110502243042
18,7199,0.84375,0.9011561870574951
18,7249,0.84375,0.9060561060905457
18,7299,0.78125,0.9323181509971619
18,7349,0.8125,0.9591712951660156
18,7399,0.7734375,0.9962725639343262
19,7449,0.78125,1.0186582803726196
19,7499,0.734375,1.1008654832839966
19,7549,0.8046875,0.9542608261108398
19,7599,0.8125,0.9138271808624268
19,7649,0.8046875,1.0273605585098267
19,7699,0.7734375,0.9394485354423523
19,7749,0.7734375,0.9917638301849365
19,7799,0.8359375,0.9430965781211853
