epoch,step,train_acc,train_loss
0,49,0.1875,2.4028470516204834
0,99,0.15625,2.4987716674804688
0,149,0.1875,2.3084943294525146
0,199,0.15625,2.4267213344573975
0,249,0.34375,2.069408416748047
0,299,0.375,2.0025153160095215
0,349,0.25,2.3017709255218506
0,399,0.375,1.9338243007659912
0,449,0.125,2.3372654914855957
0,499,0.28125,1.9849448204040527
0,549,0.21875,2.297699213027954
0,599,0.3125,1.8408501148223877
0,649,0.125,2.3450253009796143
0,699,0.25,1.9132635593414307
0,749,0.375,1.9663691520690918
0,799,0.34375,2.012993097305298
0,849,0.375,1.8121825456619263
0,899,0.375,1.8978712558746338
0,949,0.40625,1.8636125326156616
0,999,0.375,1.8129537105560303
0,1049,0.28125,2.0681710243225098
0,1099,0.3125,2.030104875564575
0,1149,0.34375,2.0083682537078857
0,1199,0.46875,1.7665363550186157
0,1249,0.5,1.806121587753296
0,1299,0.34375,2.1247284412384033
0,1349,0.28125,1.9023785591125488
0,1399,0.3125,1.7786264419555664
0,1449,0.3125,1.817574143409729
0,1499,0.21875,2.0200788974761963
0,1549,0.46875,1.70207679271698
1,1599,0.34375,1.883705496788025
1,1649,0.46875,1.575470209121704
1,1699,0.25,1.9443635940551758
1,1749,0.28125,1.9544541835784912
1,1799,0.3125,1.870757818222046
1,1849,0.28125,1.8583121299743652
1,1899,0.375,1.8088613748550415
1,1949,0.3125,1.8537923097610474
1,1999,0.40625,1.6318168640136719
1,2049,0.4375,1.7561404705047607
1,2099,0.34375,1.8600246906280518
1,2149,0.4375,1.4354606866836548
1,2199,0.34375,1.7944811582565308
1,2249,0.34375,1.7350473403930664
1,2299,0.46875,1.6630374193191528
1,2349,0.53125,1.531946063041687
1,2399,0.46875,1.771576166152954
1,2449,0.5,1.6591181755065918
1,2499,0.34375,2.0126562118530273
1,2549,0.46875,1.692598819732666
1,2599,0.40625,1.8358474969863892
1,2649,0.375,1.8761662244796753
1,2699,0.4375,1.6503959894180298
1,2749,0.4375,1.7683515548706055
1,2799,0.1875,2.157055616378784
1,2849,0.34375,1.861954689025879
1,2899,0.5,1.593184471130371
1,2949,0.4375,1.8902671337127686
1,2999,0.53125,1.5074716806411743
1,3049,0.4375,1.6747045516967773
1,3099,0.53125,1.5121554136276245
