epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.4296875,1.796251893043518
0,99,,0.4375,1.6709389686584473
0,149,,0.53125,1.5743145942687988
0,199,,0.5078125,1.505035161972046
0,249,,0.4921875,1.6039170026779175
0,299,,0.546875,1.424700140953064
0,349,,0.5703125,1.476022720336914
0,390,0.4897199869155884,,
1,399,,0.640625,1.4017562866210938
1,449,,0.6015625,1.3855395317077637
1,499,,0.6015625,1.3818460702896118
1,549,,0.6171875,1.3516920804977417
1,599,,0.5703125,1.4533718824386597
1,649,,0.625,1.4022828340530396
1,699,,0.5859375,1.454646110534668
1,749,,0.65625,1.2960609197616577
1,781,0.6172800064086914,,
2,799,,0.6796875,1.2699028253555298
2,849,,0.59375,1.3595795631408691
2,899,,0.6015625,1.3664929866790771
2,949,,0.65625,1.2125798463821411
2,999,,0.7109375,1.2327942848205566
2,1049,,0.65625,1.3285422325134277
2,1099,,0.6328125,1.2217825651168823
2,1149,,0.7421875,1.1895350217819214
2,1172,0.6740800142288208,,
3,1199,,0.6953125,1.2376682758331299
3,1249,,0.7734375,1.007641077041626
3,1299,,0.6640625,1.289207935333252
3,1349,,0.6953125,1.2870651483535767
3,1399,,0.78125,1.0481797456741333
3,1449,,0.75,1.063541054725647
3,1499,,0.671875,1.2084708213806152
3,1549,,0.7109375,1.1074360609054565
3,1563,0.7170799970626831,,
4,1599,,0.7265625,1.0268763303756714
4,1649,,0.7421875,1.0269218683242798
4,1699,,0.6875,1.2024554014205933
4,1749,,0.7421875,1.0856255292892456
4,1799,,0.7421875,1.0906972885131836
4,1849,,0.765625,1.0571470260620117
4,1899,,0.8125,0.9648494720458984
4,1949,,0.796875,0.9931455254554749
4,1954,0.7503600120544434,,
5,1999,,0.828125,0.9942809343338013
5,2049,,0.7890625,1.0227359533309937
5,2099,,0.828125,1.02367103099823
5,2149,,0.734375,1.0819827318191528
5,2199,,0.7890625,1.0095365047454834
5,2249,,0.7578125,1.0591293573379517
5,2299,,0.7265625,1.1069892644882202
5,2345,0.7763400077819824,,
6,2349,,0.84375,0.9342465996742249
6,2399,,0.7734375,1.065224051475525
6,2449,,0.734375,1.1157865524291992
6,2499,,0.8125,0.9735417366027832
6,2549,,0.765625,1.1255550384521484
6,2599,,0.765625,1.0266902446746826
6,2649,,0.7578125,1.1303956508636475
6,2699,,0.796875,0.97712242603302
6,2736,0.7924000024795532,,
7,2749,,0.828125,0.9596409201622009
7,2799,,0.828125,0.9063165783882141
7,2849,,0.8828125,0.8506210446357727
7,2899,,0.828125,0.8834925293922424
7,2949,,0.796875,0.9768377542495728
7,2999,,0.8203125,0.9092432260513306
7,3049,,0.7265625,1.0567373037338257
7,3099,,0.8125,0.9804899096488953
7,3127,0.8107799887657166,,
8,3149,,0.8125,0.905156672000885
8,3199,,0.8046875,0.9204277992248535
8,3249,,0.828125,0.923985481262207
8,3299,,0.734375,1.0545376539230347
8,3349,,0.828125,0.9053603410720825
8,3399,,0.859375,0.8462481498718262
8,3449,,0.8046875,0.935943067073822
8,3499,,0.84375,0.8596270084381104
8,3518,0.8243200182914734,,
9,3549,,0.8046875,0.8770756721496582
9,3599,,0.890625,0.8534421920776367
9,3649,,0.8984375,0.769300639629364
9,3699,,0.875,0.8264959454536438
9,3749,,0.7421875,1.007412075996399
9,3799,,0.8125,0.8788528442382812
9,3849,,0.8046875,0.9500116109848022
9,3899,,0.875,0.8169387578964233
9,3909,0.838699996471405,,
10,3949,,0.8125,0.9407345056533813
10,3999,,0.890625,0.7655171751976013
10,4049,,0.828125,0.8715600371360779
